State,Description
"(0, 0, 0)","Normal crypt, no mutations."
"(0, 0, 1)","KRAS activated, others normal."
"(0, 1, 0)","TP53 lost one allele, others normal."
"(0, 1, 1)",TP53 lost one allele + KRAS activated.
"(0, 2, 0)","TP53 mutated one allele, others normal."
"(0, 2, 1)",TP53 mutated one allele + KRAS activated.
"(0, 3, 0)","TP53 mutated+lost, others normal."
"(0, 3, 1)",TP53 mutated+lost + KRAS activated.
"(1, 0, 0)","APC lost one allele, others normal."
"(1, 0, 1)",APC lost one allele + KRAS activated.
"(1, 1, 0)",APC lost one allele + TP53 lost one allele.
"(1, 1, 1)",APC lost one allele + TP53 lost one allele + KRAS activated.
"(1, 2, 0)",APC lost one allele + TP53 mutated one allele.
"(1, 2, 1)",APC lost one allele + TP53 mutated one allele + KRAS activated.
"(1, 3, 0)",APC lost one allele + TP53 mutated+lost.
"(1, 3, 1)",APC lost one allele + TP53 mutated+lost + KRAS activated.
"(2, 0, 0)","APC mutated one allele, others normal."
"(2, 0, 1)",APC mutated one allele + KRAS activated.
"(2, 1, 0)",APC mutated one allele + TP53 lost one allele.
"(2, 1, 1)",APC mutated one allele + TP53 lost one allele + KRAS activated.
"(2, 2, 0)",APC mutated one allele + TP53 mutated one allele.
"(2, 2, 1)",APC mutated one allele + TP53 mutated one allele + KRAS activated.
"(2, 3, 0)",APC mutated one allele + TP53 mutated+lost.
"(2, 3, 1)",APC mutated one allele + TP53 mutated+lost + KRAS activated.
"(3, 0, 0)","APC mutated+lost, others normal."
"(3, 0, 1)",APC mutated+lost + KRAS activated.
"(3, 1, 0)",APC mutated+lost + TP53 lost one allele.
"(3, 1, 1)",APC mutated+lost + TP53 lost one allele + KRAS activated.
"(3, 2, 0)",APC mutated+lost + TP53 mutated one allele.
"(3, 2, 1)",APC mutated+lost + TP53 mutated one allele + KRAS activated.
"(3, 3, 0)",APC mutated+lost + TP53 mutated+lost.
"(3, 3, 1)",APC mutated+lost + TP53 mutated+lost + KRAS activated (Malignant state).